"review_date","user_rating","review_title","review"
"4 August 2022","1","Paragon is just hyped!! Nonsense! ","This restaurant is just hyped! The food is not worth waiting for two hours!! The mango fish curry had no mango taste no sourness!!"
"17 March 2022","5","Food from heaven!","At peak lunch time on a Sunday, five of us dropped in at Paragon on our way to Tellicherry. Though it was past 2pm, the restaurant was brimming with guests - many waiting for their turn at the tables. We were lucky to find a...table for five and from there on, it was a trip to food heaven! We ordered neichoru, fish with mango curry, prawn roast, mutton biriyani - and each item was to die for. All the meat and seafood was fresh. How the restaurant manages to retain the right taste, especially with consistency given the volumes that have to cater for, is amazing. The service was top class and very proactive. Paragon is a restaurant that I can go to, again and again. The food does not fail, ever. The taste is worth the effort.More"
"9 March 2022","5","Mouthful of taste flavours and local kerala cuisine.","The food has hangover . Delight for foodies- loved by the localities . Kerala cuisine at its best. Don't miss soup in bun and mango fish curry with one of the best aapams. A must visit for a foodie - veg or non veg"
"26 November 2021","3","Portion","I had came for a take away on 26th nov night ordered food. Waiter was not interested on giving suggestion. Ordered chicken 65  . Portion of 6 pcs chicken on high price. Still we trust paragon we took it home. At our dining table kids...and we were upset by seeing huge pieces of bones and very less meat on it. 
Paragon team pls don't come down as standard  of Highway Daba on portion as you are taking high standard pricesMore"
"16 June 2021","1","parcel service is not good","I ordered a biryani at 12.45pm and brought it at 3pm so I sent it back and this one incident made me very angry. This will never be forgotten as I skipped my lunch"
"12 January 2021","4","Paragon Restaurant","മൊഹബ്ബത്തിൽ ചാലിച്ച ഭക്ഷണം
Posted from Bangalore when my friend Suresh Haridas today whatsapped he and family had 
chicken biriyani and fish curry meals from there"
"4 January 2021","5","Excellent! Must try even though you have tried Kochi!","The food here is out of this world. This is the true taste of Paragon. Eventhough you have to wait for like 1 hour, still its worth it."
"22 October 2020","5","Very good","Had a good experience in paragon.super food. You can get it fresh when you order it.good place for family,couple,and solo."
"16 October 2020","1","Review","Very bad mannered staffs and average food.. and they think they are top. Very arrogant and cheap staffs.. especially the cashiers they think they are giving free food to people. Terrible experience"
"2 August 2020","5","Fabulous ","Paragon is the heaven of calicut. Because i started to eat there since i ws a kid. We always prefer to dine with family there and also with friends. 2 times i alone went there to eat biriyani.. foodie like me love the little cute...More"
"9 July 2020","3","One of the oldest resturant","Best resturant you can get desi food taste of malabar .it is one among the oldest resturant in calicut"
"6 July 2020","5","Good food","One of the best restaurant in kerala, when I go calicut I always choose this restaurant, good for family"
"2 July 2020","5","Good quality of food available there @paragon restaurant","Hotel paragon is a most popular restuarant in Calicut.There created a different types of food.different variety are available there.basically sometimes I had chicken biriyani ,beef chilli porotta it's my favorite.
#paragon restaurant calicut"
"9 June 2020","5","Delicious ","'Appam' one of the best food we tasted, for meal lots of items with super taste, i always go to paragon with my family. Lots of people come there so we need stand in que for our table, then also no disturbing mind because if...More"
"2 April 2020","5","Paragon biriyani","Excellent food.supet tasty.very authentic.meals, biriyanis,Madan fish curry,fish fry, soups,salads everything in high standared"
"21 March 2020","5","The best kerala biriyani I ever had","I am not a fan of kerala type biriyani ,since I tried many so called kerala biriyani though they had  good rating by many food bloggers.But Paragon biriyani was beyond my expectation and I thoroughly enjoyed it.This the best Kerala Chicken Biriyani I ever had"
"15 March 2020","5","Worth the hype !!","While in Kozhikode visit paragon is what we were told by our foodie friends. My experience with these overhyped restaurants has never been exceptional but I have to eat my words here. There was hardly any wait (guess the chicken flu scare)and we were seated...More"
"15 March 2020","4","Excellent and signature dishes","A fine restaurant for native Malabar dishes and delicacies. Biriyani here is a must have item while on visit to Kozhikode."
"7 March 2020","5","Delicious","Here the chicken biriyani is delicious it s smell  should fill watering mouth.another delicious  dishes are kanthari chicken and vellayappam it's have good taste . Tender coconut payasam is one of the delicious dessert here. Should try those dishes. I promise you  it ll like...More"
"3 March 2020","5","Excellent Food ","Awesome taste & excellent spread. You never get such authentic food elsewhere.

Any sea food is awesome in this restaurant."
"29 February 2020","4","Good","This place is serving one of the best. Seafood and chicken dishes and I will definitely recommend it to each and everyone."
"23 February 2020","4","Hotel Paragon","A good restaurant.Always a huge crowd will be there.There was actually a queue of people, waiting for the tables to be available. Food was decent - some items were great. One item was undercooked. Great service. Decent ambience."
"10 February 2020","5","Paragon Chicken Biriyani","I am writing this to make people aware of the importance of Paragon biriyani when you are at Calicut. Don't miss this out guys! It is just epic.
    
     My mother's home is at Calicut. I used to go there on vacations. I have tried the...More"
"5 February 2020","5","Yummy Authentic food","we ordered for alleppy Veg curry with upam and kerala paratha it was supertasty with kerala flavours i will surely visit next time."
"3 February 2020","4","LOVELY MALABAR CUISINE","This restaurant is an iconic one in Kozhikode, which is the forerunner of Malabar Cuisine. Had dropped in for dinner during our recent trip to Kerala and were treated to a variety of fish dishes. It was established in 1939 and enjoys cult status in...More"
"3 February 2020","5","Delicious","It is very nice taste food included arabic style 
I eat sea food platter which it is very delicious taste , seafood soup ooooh and also the dal white talka it is fantastic"
"29 January 2020","5","Amazing food, great drinks, nice staff, quite busy though","We headed over to Paragon after a long train ride, there was quite the line-up and we waited for about half hour, well worth the wait.  While their chicken biriyani was really good, their mango fish curry served with the Kerala parotta was just lip...More"
"25 January 2020","4","Lived upto its name","The reputation precedes it and it lived upto our expectation..v wer ther on a weekday fr lunch n even at 3pm ther ws quite a lot of waiting..it has 3 separate seating spaces - regular non AC , deluxe AC n super delux AC n...More"
"24 January 2020","5","A family Restaurant.","I remember going there as a teenager with my Dad and his friends after watching Sait Nagjee football matches as our family in Feroke were in the Tile business. Paragon Biriyani is unbelievable and they have kept up their quality and also their service as...More"
"17 January 2020","5","EnjOy the RaEl Flavours of Calicut ","Yummy food 🥘.. The place is so crowded and we waited an hour to get a table .. but I heard about the foods here so my patience level was in the peak , never I waited so long for food .. they have a...More"
"17 January 2020","4","Yummy Biriyani ","Enjoyed a  wonderful Biriyani in Paragon. Tasted both mutton and fish. Mutton Biriyani was smooth and yummy. Fish Biriyani was superb and class. It was so tasty, the fish really melted in mouth. Quite busy; so have some patience to wait for some time. But...More"
"10 January 2020","3","Not upto the expectations","Visited the place around 2 in the afternoon, was very crowded right from the car parking to restaurant. Seeing such crowd had a great hope of getting good food however this wasn't the case. Chicken Varattiyathu was too sweet, mango fish curry was average. Only...More"
"4 January 2020","5","Best Biriyani in my life. ","The hotel paragon is a best hotel in calicut. I never ate a biriyani like this in my life. Good in ambiance, friendly in food serving and  very neat and clean atmosphere . A special counter for take away.Not only biriyani i had try sea...More"
"29 December 2019","5","Excellent food and service","Very tasty food and the service is very quick with a friendly set of staff. Even the staff is very prompt enough while taking the orders on phone."
"27 December 2019","5","Pure excellence ","I'm still sitting at the table in paragon and feel compelled to review the incredible food and the outstanding service. As poor lost looking westerners we were whisked to a seat and every detail attended too in a thoughtful manner. They skipped the intro drink...More"
"25 December 2019","4","Yum food","Paragon Restaurant, one of the oldest restaurant  is also undoubtedly one of the best restaurant in the city with its tasty and delicious food served, keeping up its popularity with the traditional tasty treat even in the present days.

 It is tidy and well maintained...More"
"24 December 2019","4","Consistent Calicut food","Paragon provides good quality Malabar food consistently. I am a regular here for the past 15 years.

Recommended dishes - 
1. Tribal Beef Fry
2. Fish Mango Curry with Appam/Porotta
3. Fish Moilee, Putt and Pappadam
4. Prawns Mango Curry
5. Mutton Pepper Fry"
"13 December 2019","5","Family","The best restaurant in town; way better than its fancier counterpart that seems to have a higher rating on TA. Kerala food at its best and also Chinese and north indian options for the less adventurous. Not a fine dining place. No nonsense service, bill...More"
"12 December 2019","4","Authentic Calicut cuisine ","This is a good restaurant offer traditional Calicut cuisine.
Prawn fry with coconut flaks is a must to try.
Green mango fish is also recommendable.
Byraini I am told it is good.
A nice affordable place.
Usually  be prepared for a crowded setting, may have...More"
"7 December 2019","5","What's Calicut without Paragon?","Is a review even necessary? I have friends who visit Calicut just to have food from Paragon. If you guys go during lunch hours, you might have a bit of a wait as it's usually packed right around that time. There are plenty of signature...More"
"5 December 2019","5","Biriyani lovers...","You must  love the every dishes from here...
Spl chicken biryani,mutton etc
Porotta irachi.,appam mutta etc
Only for those who enjoy.."
"2 December 2019","3","Disappointed","Had been with 7 family members but unfortunately the wait time was almost an hour. And finally when set to order their famous chicken biryani found that it was exhausted. So decided to settle for some whole wheat parathas, appam, puttu with some chicken stew...More"
"28 November 2019","1","The popularity doesnt get justice","Nothing special about the restaurant. The food is just ok. Expected some retreat for sure. But name did not get the justice"
"14 November 2019","5","Good Food","If your looking good kerala cousins,please visit paragone restaurent,specialy appam and fish curry.

If your looking good and tasety malabar food ,you should visit paragone restaurent,should try appam and fish curry."
"12 November 2019","1","Unsatisfactory. No stars. ","Hi. Every month once I bust Calicut. And always have one dinner at paragon to relish my tastebuds with local gone feel cuisine. But sadly it has lost all its glory over the years. In simple words horrible. All dishes such as prawns dear fish...More"
"11 November 2019","5","Taste buds","One of the most frequent visited restaurants in city, breakfast to soothe # mutton varitayathu with appam# grand vegetarian or fish curry meals # do visit and taste the daily specialities # value"
"6 November 2019","5","Paragon restaurant is number one","What to say about paragon kozhikode. Words are less to explain about tne hotel. However we praise the tasty food, it will be less. Excellent tradititatse is their highlight. No other hotel in kozhikode can beat their tasty food. Must visit spot."
"31 October 2019","5","Good hotel","On beach road. Around 1km from mananchira. Food is very good. Veg and non veg are available. One of the best hotels in Kozhikode"
"31 October 2019","5","The ""mecca"" of maalbari cuisine! ","By far the best restaurant possible in kerala.... Wait India! Amazing food with insane consistency. Try the fish mango curry with kerala paratha and u won't look back! Beware of long queues during weekends. To finish off ask for tender coconut pudding. A visit to...More"
"31 October 2019","5","Good restaurent","Very good restaurant providing very tasty food. The service is very fast and very good. They have a good parking place close to the restaurant.  Overall had a very good time."
"23 October 2019","5","Best hotel in Malabar","The best place t have th famous Malabar biriyani.. Yh Top restaurant in calicut along with top form in terms f Malabar dum biriyani in my openion.."
"23 October 2019","3","Below expectations","Well, I guess everyone has a bad day. Going by the plethora of super reviews on the net, we went in expecting something truly wonderful. But to our bad luck, we didnt have a good experience there.

The queues are truly very long, and you...More"
"16 October 2019","4","Best food in the area","Chicken biriyani is superb. Also the mango fish curry and appam is delicious. Well behaved staff and ample car parking."
"15 October 2019","4","Just Taste it","One of the most popular restaurants in Calicut having a branch at Lulu mall Kochi. The best place where you get treated with all sorts of cuisine. The splendid menu offers you a variety of dishes. When you visit *Calicut Paragon*, just check the menu...More"
"10 October 2019","5","Superb, Yummy Food","This place has the best fish curry I have ever had its called the mango curry with pcs of raw mango in it, it was amazingly good. All the dishes we ordered including the fried fish were great. The spice level was just perfect the...More"
"9 October 2019","5","Fantastic","Excellent food varieties at nominal cost. Must wait and eat don't miss it. It will be an unforgettable experience."
"7 October 2019","5","Great","It is tricky to get food here it always crowded,but the food here very tasty and customer service great and totally satisfied with the service there .the atmosphere is great and calm"
"1 October 2019","4","The king of chicken briyanies.","This place is well known among tourists as well as the natives. The exquisite chicken briyani is the main attraction of this place . Costs 160 ₹ a plate. Which is totally worth it.  A must place to visit in Calicut.."
"29 September 2019","5","A delight to the senses","One of the oldest restaurants with a mind boggling array of varied scrumptious fare! The appams are out of this world. Prawn, Squid, Lamb, Beef are all highly recommended. The Indian desserts are a definite yes! All in all a very pleasant evening!"
"29 September 2019","5","Best chicken","One of the best chicken destination in Kerala. Its gives really very delicious and tasty food at affordable price."
"13 September 2019","5","Best Chicken Biriyani Ever","""Good tasty food...Bit delay in serving but worth a wait....very busy location...""
	""Must try dishes are tribal beef, pandanous chicken and mango fish curry""
	""""The atmosphere is hygienic and the quality of service is excellent."""""
"4 September 2019","4","food is good but crowded and expensive","food is good but crowded and expensive
food is really awesome,space is clean and hygienic,staff s good but the probs is its overcrowded,waiting time is high,and a bit expensive comparatively .have got ample parking also."
"4 September 2019","4","Best for traditional Indian food","Probably we will ask whether we should go to paragon to eat porotta. My husband ordered it and I have to say that it was delicious. Along with that I liked their mutton curry.  Traditional Indian items are good"
"7 August 2019","5","Delicious treat","A connoisseur's paradise. This place never fails to delight. Best items there are appam and fish curry. The mango fish curry is a must try. Also the biryani. Best place to go for authentic Malabar food."
"1 August 2019","4","Family Dining","Special Dining Experience , kerala meals is speciality , clean restaurant , family and party halls are available ,"
"31 July 2019","4","Food was amazing ","The service was great and the food was even greater. I enjoyed it to the maximum with my 9 members of my family."
"30 July 2019","5","Paragon In calicut is a must visit...","The food is very tasty .. but one has to go early for lunch as it is so crowded any day and you might have to wait until you get a table. That in itself shows the quality of the food there. Awesome!!"
"25 July 2019","5","Paragon Calicut review","As a first time visitor in Calicut, we decided to visit Paragon because of Google Reviews.The staff were very welcoming and the dishes tasted excellent.Particularly enjoyed the chana(chickpea)gravy,beef fry and appam."
"23 July 2019","5","Family","Superb food... Especially Kerala foods ... Fish mango curry and porrotta etc... Meals are superb.. fish tawa fry is yummm"
"20 July 2019","1","Poor customer service","I arrived there one afternoon ..only to find myself at the end of a queue that stretched on to the street. Of course the driver had left in search of a parking face which seemed non-existent. On inquiry at the restaurant i was shown a...More"
"5 July 2019","5","Delicious foods","One of the famous restaurant in Kozhikode. Paragon biriyani is so famous and delicious. Must try biriyani. There are lot more varieties."
"3 July 2019","5","Praragon - a restaurant not to miss when you visit Kozhikode","A restaurant that we invariably take any of our guests who visits us in Kozhikode - particularly those who are fond of Non-vegetarian food.  The varieties that they have in non-vegetarian dishes, more so in fish, is really mind blogging. So far all those whom...More"
"3 July 2019","5","The best place in Kerala to eat :)","Paragon still dominate as the best restaurant in Kerala with varieties of foods .. My favorite food here is Palappam and chicken stew <3"
"29 June 2019","5","Nothing","Appam fish mango curry very tasty then beef item very nice then chicken biryani.very well tasty appam"
"8 June 2019","5","Excellent","Great food,  reasonable prices 

The only negative is the sheer volume of people,  you'll likely be waiting for a table"
"7 June 2019","5","Good Taste & Service","All the dishes we have ordered (Beef fry, Briyani, Fish Curry, Squid Fry, Appam, Kerala Barotta) is tasty and the pricing is very reasonable.
paragon signature fish curry with mango is top of the world.
Squid fry is also very delicious.

Must try restaurant when...More"
"7 June 2019","5","Awesome","The best Malabar chicken biryani I ever had.. very tasty meat and flavourful rice.. prawn mango curry & porota is another highlight. Super crowded place and very popular. Waiting time is minimum 30mins. Pricing is very cheap. Must try when in Kozhikode"
"6 June 2019","4","Frequently visited  place.","The food is great with a lot of variety and affordable  and a popular place among us Kozhikodans. Has branches in many places. Crowded during peak hours  as space is limited.  The space constraints  effects the ambience and relaxed  seating arrangements."
"5 June 2019","5","Great Tasting food","Good tasty food with sufficient quantity and reasonable price. The ambiance is perfect in the AC restaurant but a lot of rush at the Non AC restaurant."
"4 June 2019","4","A visit for kozhikodan flavor","We visited the restaurant while coming back from mysore. The food we ordered (biriyani,chicken kaandhari & prawns) was amazing. We enjoyed the food and ambience.
There is ample parking space and we highly recommend anybody passing by calicut to have a must visit to paragon"
"26 May 2019","5","Delicious food","The mango curry and parota was amazing. Very good option in Kozhikode and interesting to know it is retained its taste and popularity for decades together"
"25 May 2019","5","Awesome ","Yummy food. A must visit place and the best place to eat food. It’s always crowded and it shows the quality of food."
"22 May 2019","5","Amazing food!","It is a very ancient establishment (since 1939) with four branches in Calicut n another few in Dubai n ? Abu Dhabi but they have maintained the quality of food! The variety is exquisite and extensive, the taste is unbelievable! Actually ' The taste of...More"
"29 April 2019","5","Popular and tasy","They serve wide variety of foods. Great hospitality many types of foods...I lived my special Biriyani..must visit"
"13 April 2019","5","If we are eating from Calicut it will be from Paragon.","Excellent food for reasonable prize.
Good service.
Toilets and wash places in the ground floor need attention."
"25 March 2019","5","Magnificent restaurant","Old style restaurant with excellent tasty food. Tried the authentic dish Fish Mango Curry and Beef Ularthiyathu with Appam and Kerala Porotta. So amazing ..."
"23 March 2019","5","Excellent","Excellent & delicious food. And quality service. One of the best Hotel in Malabar. I suggest everyone should visit."
"21 March 2019","5","Synonym for taste and hospitality","Even with limited space constrains, may be its the reason for taste i think so. Paragon providing a good quality and tasty food. I am preferring Appam and Fish Mango Curry and also Chicken Biriyani with Fish fry as per mood and time. You can...More"
"13 March 2019","5","The name says IT all !!","As they say Calicut is identifiable by its distinctive taste and if true Paragon restaurant is one landmark at the center of the map. This being my second visit to this restaurant I did have a fairly good expectation of what lay in store. 3...More"
"4 March 2019","3","Popular!","One of the popular restaurants with good food, good service and good parking space. It's only two minutes walk from the famous Manamchira. It's an old structure and natural to feel congested especially during lunch hours. Impression-it's a costly affair and food is not so...More"
"1 March 2019","5","Tasty food","Your trip to Calicut won’t be complete without a visit to Paragon Restaurant here- a legendary name among restaurants in Kerala. Famous for its Biriyani, this easily recognizable hotel is situated at Kannur road near head post office and functions from 6 AM to 12...More"
"28 February 2019","4","Paragon calicut","It’s the one best restaurant serving tasty food at Calicut. It’s well know name in Kerala for tasty food in kerala"
"26 February 2019","4","Best hotel in Kozhikode ","This is one of the best hotel of Kozhikode city. The quality and taste of the food is popular even outside of the city too. Service is also very good."
"24 February 2019","5","Excellent Restaurant in Calicut, Kerala, India","Our guide recommended this restaurant on our arrival in Calicut. The restaurant was full although it was close to closing time.The food was fresh and delicious. The chefs did not make it too spicy as they realized we were from South Africa. The seafood dishes,...More"
"18 February 2019","4","Average. ","Decent place, walking distance from Raviz hotel. Waiters keep on nodding their head, even before you tell something, yes sir, yes sir. Language can be an issue, other than that, good is average."
"17 February 2019","5","An 80-year-old marvel!","I am here with five sales colleagues. Once we manage to get a table, the ordering is easy. All of us order “Meals” (Rs 160). Now a “meals” here is not a thali. It is a lot of bowls with a lot of food, served...More"
"13 February 2019","5","Delicious food","Enjoy delicious malabar cuisine at its best.The malabar dum biriyani & prawns fry is excellent and the charges are normal."
"13 February 2019","5","The best as always","It was difficult to find seats even at 3.30 pm for lunch . Such is the popularity of Paragon, arguably one of the best restaurants in Kerala.
Everything we ordered was delicious. Natholi fish fry, fish curry, chicken biriyani, ayakkura fish fry, porotta, ilaneer payasam....More"
"13 February 2019","4","Food","We visited at morning for breakfast. The food was so tasty. Clean surroundings. The waiters behaved very well.totaly it was a verygood experience."
"12 February 2019","5","Great food","Value for money centrally located   great food near to the market courteous staff near to the bus stand near to the railway station best food in town best South Indian food

Value for money centrally located   great food near to the market courteous staff near...More"
"4 February 2019","4","One of the best & most famous in Kozhikode","Paragon Restaurant is one the best & most famous restaurant of Kozhikode. And it will not disappoint you with taste. Lots of variety. Also, they have different divisions to cater all budget people."
"3 February 2019","4","Paragon","One of the best restuarants in calicut since years & my only choice for their famous appam & fish mango curry and also French soup... fish items,chicken biriyani,crab, meals anything & everything there is superb."
"1 February 2019","5","Awesome","Finally got to visit this iconic restaurant.Reached the hotel at 3pm and still had to wait for minutes. The food did not disappoint. Tried the bamboo biryani, mango fish curry with rice and prawns and king fish fried. Food did not let us down. Everything...More"
"30 January 2019","5","great restaurant..great food..must try","the aroma of the dishes there ,which every travellor dat passes by the overbridge ,is more than enough to describe the deliciousness of the food ...."
"30 January 2019","5","Good place to have Kerala style seafood preparations","Must try - Squid olathiyathu, mussels deep fry/ olathiyathu.  Fish mango curry was not up to the mark... paragon Biriyani is famous.."
"30 January 2019","1","Food  poisoning","Every trip to calicut is usually incomplete without a visit to paragon . However our lunch at paragon on 28th jan was extremely disappointing after we tried a new dish puttu biryani, both me and my husband fell ill with severe stomach ache and vomiting...More"
"27 January 2019","4","All good ","Simply good . But expensive .considering the casual dining and shared table two people costed us inr 990."
"27 January 2019","5","The best place to eat in kozhikode","This restaurant serves amazing food and has consistently done so for many years. It serves traditional and authentic south indian, continental and some Arabian dishes. They have very innovative creations from the base cuisine. It is very clean and organised and it is a safe...More"
"22 January 2019","5","Delicious and full of flavour!","This place was bustling - but the service was still fantastic. We made it a point to stop in on our way through Kozhikode... One night only! But we couldn't miss it and we were glad we didn't. Every single thing we ordered was delicious...More"
"19 January 2019","4","Best Restaurant in Calicut","Waiting time is always really high. But the taste of the food is worth the wait. Try the biriyani, beef  and sea food dishes"
"18 January 2019","5","Mutton stew and appam... Heavenly","We had our breakfast there before heading out to Kerala literature festival 2019.. and we were just simply happy... Excellent service too"
"16 January 2019","3","Food ","Average taste, this hotel is located near palarivattom junction. Its a low budget restaurant, and very nice service"
"16 January 2019","5","Good","Hotel paragon restaurant, superb tasty Kozhikode items, we all like the non veg items here, good and neet service"
"16 January 2019","4","Best Non Vegetarian Restaurant in Calicut","This is by far the most popular Non Vegetarian Restaurant in Calicut. They also serve Vegetarian Biriyani. However the whole restaurant is filled with Biriyani and Fish smell. Parking is available at the nearby open area. Lunch for 2 adults close to RS. 1000/-"
"15 January 2019","4","Best in calicut","This is the best hotel in Kerala.  All dishes are incredible. They are famous for biriyani, afternoon meals and beef."
"9 January 2019","4","Kozhikodan biriyani","Lovely food -  experienced the same taste of kozhikodan biriyani .Restaurant was crowded but service was perfect . Huge range of items on the menu 
Polite waiters .. Oh well, the food is fabulous and the waiters are polite."
"8 January 2019","5","Yummy fish mango curry!","Often visits Paragon Kozhikkodan Biriyani and Porotta or Appam with fish mango curry are tasty, Should try, never miss."
"8 January 2019","5","The best yet. Must do south india ","The food was outstanding. I had fish byriani and fried kingfish. Light not oily and fresh and tasty. 
There is a queue but only for 10 min. I was helped all the way by attentive staff 
Then my waiter attended. He explained and suggested food,...More"
"7 January 2019","5","Good as expected","This was our second visit nothing more nor less to add, same excellent service and food quality as expected."
"6 January 2019","4","Excellent! Too crowded on weekends though..","It ain’t just the Biriyani.. the fish moilee is heavenly! Goes very well with idiyappam/pathiri. The only glitch is the crowd management. It’s time they did something about this..online slot booking, perhaps?"
"27 December 2018","1","Paragon food order from train: Cheating","I confirmed my delivery with hotel twice by phone on train but in the station they were not there. Very poor response on calling also. Dont trust."
"25 December 2018","5","still the best biryani in Kozhikode","Be prepared to queue at lunch or dinner hours.  For just two people, though, the wait can be a short one.  The biryani doesn't seem as tasty and loaded as it was a few years ago but still outshines all others in Kozhikode."
"22 December 2018","5","Amazing food!","The place is always crowded but definitely worth the wait.!
mutton briyani is my favourite and next is parota!

Also done forget to taste the chips in the shop down the road below the flyover"
"19 December 2018","5","Taste of North Kerala","Paragon is a popular eatery with an outpost in Kochi as well. The one at Kozhikode is where its all began. The restaurant is known for its Kerala cuisine with a few North Kerala delicacies. The Prawn Curry with Green Mangoes is a must try....More"
"12 December 2018","5","Delicious!!!!","There can be no doubt about the food of this place. It should be a must visit for all those visiting Kerala!"
"12 December 2018","4","Popular restaurant in Calicut","Paragon is an old establishment that has kept pace with the changing times and is one of the top eateries in town. The service is very professional, a bit aloof but efficient. The style of service might seem arrogant at times but I guess it's...More"
"12 December 2018","5","Fantastic food.","An unforgettable experience. Very tasty food with variety. Located at heart of Calicut with ample parking facility. Select the AC section. You may have to wait for sometime to ensure a seat. But very prompt service."
"12 December 2018","4","good for family visit","the food is great. at lunch time may have to wait to get a table. the wash area toilet needs more space."
"11 December 2018","4","Tasty Biriyani ..","I had one of the Tasty Biriyani today from Paragon Restaurant. I am sure guys everyone will like this biriyani to eat again and again..also they have managed larger parking area for customers"
"11 December 2018","4","Biryani super","Having chicken biryani from paragon is a privilege of kozhikodens. It is splendid in taste. But service quality needs to be improved. Parking is also a big trouble."
"11 December 2018","5","mouth watering dishes...","u can have nice malabar cuisine from paragon. whenever i visit calicut, my must go place is hotel paragon. have particularly liked chicken biriyani and fish mango curry. Though wehave to wait for some time to get seats , its worth the wait..."
"7 December 2018","5","best food for affordable price.","meal was excellent.catering service was also top class for the money we had spent.overall, choose this restaurant if you want to have some good food with an affordable price"
"11 November 2018","5","Too class","This restaurant is worth the hype. Have ample car parking(just cross the restaurant and security will guide till we park the car comfortably). There are a/c ,non a/c sections and a separate takeaway counter . We tried takeaway and it's perfectly organized . The most...More"
"31 October 2018","5","Best biriyani in town","I visited paragon with my family.i can undoubtedly say that the biriyani here is the best available in town.Recommend to families"
"8 October 2018","5","Terrific taste - must try ","Most popular restaurant in town - highly recommended! All fish and chicken items are good, one must try MANGO FISH CURRY and APPAM or WHEAT PARATHA. This combination is awesome...!!"
